,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 Standby,,,,,,,,,12 Check,,,,,,,,,11 Main,,,,,,,,,Weather Monitoring System,,,,,Other,
Date,Time,1 Sungrow320kW,DC Capacity 1,Generation Per kW 1,2  Sungrow320kW,DC Capacity 2,Generation Per kW 2,3 Sungrow320kW,DC Capacity 3,Generation Per kW 3,4 Sungrow320kW,DC Capacity 4,Generation Per kW 4,5 Sungrow320kW,DC Capacity 5,Generation Per kW 5,6 Sungrow320kW,DC Capacity 6,Generation Per kW 6,7 Sungrow320kW,DC Capacity 7,Generation Per kW 7,8 Sungrow320kW,DC Capacity 8,Generation Per kW 8,9 Sungrow320kW,DC Capacity 9,Generation Per kW 9,Total Generation,Total AC Active Export Energy,Main Net Export KWH,Total AC Active Import Energy,Net Import KWH,Net Generation,Total AC Reactive Export Energy,Net Export (kVArh),Total AC Reactive Import Energy,Net Import (kVArh),Total AC Active Export Energy,Main Net Export KWH,Total AC Active Import Energy,Net Import KWH,Net Generation,Total AC Reactive Export Energy,Net Export (kVArh),Total AC Reactive Import Energy,Net Import (kVArh),Total AC Active Export Energy,Main Net Export KWH,Total AC Active Import Energy,Net Import KWH,Net Generation,Total AC Reactive Export Energy,Net Export (kVArh),Total AC Reactive Import Energy,Net Import (kVArh),Ambient Temperature,Module Temperature,Solar Irradiation,Wind Direction,Wind Speed,CUF,PR%
2025-08-01,00:00,729.7,381.5,1.91,741.9,381.5,1.94,737.1,381.5,1.93,743,381.5,1.95,715.5,366.24,1.95,714.4,366.24,1.95,711.1,366.24,1.94,704.3,366.24,1.92,711.3,366.24,1.94,6508.3,555.97,6540,5.37,60,6480,8.94,240,29.64,60,556.17,6540,5.31,60,6480,8.97,240,29.74,60,555.92,6540,5.3,60,6480,9.06,180,29.8,60,,,,,,9.60,
2025-08-02,00:00,1363.4,381.5,3.57,1388.1,381.5,3.64,1373.4,381.5,3.6,1389.5,381.5,3.64,1340.5,366.24,3.66,1341.4,366.24,3.66,1351.2,366.24,3.69,1314.1,366.24,3.59,1318.3,366.24,3.6,12179.9,558,12180,5.38,60,12120,8.98,240,29.73,540,558.2,12180,5.33,120,12060,9.02,300,29.82,480,557.95,12180,5.31,60,12120,9.1,240,29.88,480,,,,,,18.07,
2025-08-03,00:00,2146.7,381.5,5.63,2183.9,381.5,5.72,2172.3,381.5,5.69,2180.7,381.5,5.72,2106.5,366.24,5.75,2105.7,366.24,5.75,2098.5,366.24,5.73,2093.6,366.24,5.72,2103,366.24,5.74,19190.9,561.19,19140,5.39,60,19080,9.03,300,29.9,1020,561.4,19200,5.33,0,19200,9.06,240,29.99,1020,561.14,19140,5.32,60,19080,9.15,300,30.05,1020,,,,,,28.44,
2025-08-04,00:00,1796.8,381.5,4.71,1822.9,381.5,4.78,1821,381.5,4.77,1821.8,381.5,4.78,1768.8,366.24,4.83,1777.2,366.24,4.85,1754.3,366.24,4.79,1769.1,366.24,4.83,1783.5,366.24,4.87,16115.4,563.88,16140,5.4,60,16080,9.07,240,30.01,660,564.08,16080,5.34,60,16020,9.1,240,30.11,720,563.83,16140,5.33,60,16080,9.2,300,30.16,660,,,,,,23.74,
2025-08-05,00:00,2047.7,381.5,5.37,2083.2,381.5,5.46,2072.6,381.5,5.43,2079.8,381.5,5.45,2011.5,366.24,5.49,2016.3,366.24,5.51,2004.8,366.24,5.47,1999.9,366.24,5.46,2011.9,366.24,5.49,18327.7,566.93,18300,5.41,60,18240,9.11,240,30.17,960,567.13,18300,5.35,60,18240,9.14,240,30.26,900,566.88,18300,5.34,60,18240,9.24,240,30.32,960,,,,,,27.13,
2025-08-06,00:00,1934.3,381.5,5.07,1934.7,381.5,5.07,1933.2,381.5,5.07,1933.3,381.5,5.07,1877,366.24,5.13,1884.8,366.24,5.15,1866,366.24,5.1,1869.9,366.24,5.11,1884.1,366.24,5.14,17117.3,569.78,17100,5.42,60,17040,9.15,240,30.3,780,569.99,17160,5.36,60,17100,9.18,240,30.39,780,569.73,17100,5.34,0,17100,9.28,240,30.45,780,34.38,21.85,0,161.53,1.22,25.19,
2025-08-07,00:00,1977.4,381.5,5.18,1972.6,381.5,5.17,1972.7,381.5,5.17,1970.1,381.5,5.16,1918.7,366.24,5.24,1925.6,366.24,5.26,1911.3,366.24,5.22,1909.4,366.24,5.21,1921,366.24,5.25,17478.8,572.69,17460,5.43,60,17400,9.19,240,30.44,840,572.89,17400,5.37,60,17340,9.22,240,30.54,900,572.63,17400,5.35,60,17340,9.31,180,30.59,840,34.38,23.66,0,151.27,3.86,25.68,
2025-08-08,00:00,2131.5,381.5,5.59,2128.1,381.5,5.58,2118.5,381.5,5.55,2125.7,381.5,5.57,2059.7,366.24,5.62,2059.6,366.24,5.62,2054.2,366.24,5.61,2043.4,366.24,5.58,2057.8,366.24,5.62,18778.5,575.81,18720,5.43,0,18720,9.23,240,30.61,1020,576.02,18780,5.37,0,18780,9.26,240,30.71,1020,575.76,18780,5.36,60,18720,9.36,300,30.76,1020,35.62,23.5,0,185.54,3.78,27.71,
2025-08-09,00:00,1795.4,381.5,4.71,1795.6,381.5,4.71,1793.2,381.5,4.7,1797.3,381.5,4.71,1740.3,366.24,4.75,1747.1,366.24,4.77,1724.2,366.24,4.71,1736.9,366.24,4.74,1750.3,366.24,4.78,15880.3,578.46,15900,5.44,60,15840,9.28,300,30.74,780,578.67,15900,5.38,60,15840,9.31,300,30.84,780,578.4,15840,5.37,60,15780,9.4,240,30.89,780,34.38,23.2,0,139.39,1.2,23.38,
2025-08-10,00:00,2119.4,381.5,5.56,2107.4,381.5,5.52,2100.8,381.5,5.51,2111.4,381.5,5.53,2041.8,366.24,5.58,2052.1,366.24,5.6,2041.8,366.24,5.58,2033.3,366.24,5.55,2043.3,366.24,5.58,18651.3,581.56,18600,5.45,60,18540,9.32,240,30.88,840,581.78,18660,5.39,60,18600,9.35,240,30.98,840,581.51,18660,5.38,60,18600,9.45,300,31.04,900,33.75,24.16,27.54,156.35,4.54,27.44,
2025-08-11,00:00,2218.9,381.5,5.82,2205,381.5,5.78,2205.8,381.5,5.78,2207.5,381.5,5.79,2142.7,366.24,5.85,2152,366.24,5.88,2134.3,366.24,5.83,2131.5,366.24,5.82,2142.1,366.24,5.85,19539.8,584.82,19560,5.46,60,19500,9.36,240,31.07,1140,585.02,19440,5.4,60,19380,9.39,240,31.17,1140,584.76,19500,5.39,60,19440,9.49,240,31.22,1080,34.38,24.83,15.48,138.24,7.9,28.71,
2025-08-12,00:00,1961.4,381.5,5.14,1955.6,381.5,5.13,1953.9,381.5,5.12,1958.7,381.5,5.13,1895,366.24,5.17,1906.2,366.24,5.2,1892.9,366.24,5.17,1886,366.24,5.15,1898.7,366.24,5.18,17308.4,587.69,17220,5.47,60,17160,9.4,240,31.21,840,587.91,17340,5.41,60,17280,9.43,240,31.31,840,587.64,17280,5.39,0,17280,9.53,240,31.36,840,33.75,24.51,9.72,148.82,4.06,25.46,
